Year,Round,Pick,Player,Team,POS
2016,1,1,Antonio Brown,Chaz,WR
2016,1,2,Julio Jones,Bean,WR
2016,1,3,Odell Beckham Jr.,Rob,WR
2016,1,4,Todd Gurley,Fried,RB
2016,1,5,Adrian Peterson,Sean,RB
2016,1,6,David Johnson,Cory,RB
2016,1,7,Le'Veon Bell,Trev,RB
2016,1,8,A.J. Green,Brandon,WR
2016,1,9,Allen Robinson,Jay,WR
2016,1,10,DeAndre Hopkins,Sammy,WR
2016,1,11,Randall Cobb,Fred,WR
2016,1,12,Brandon Marshall,KB,WR
2016,2,13,Dez Bryant,KB,WR
2016,2,14,C.J. Anderson,Fred,RB
2016,2,15,Ezekiel Elliott,Sammy,RB
2016,2,16,Jordy Nelson,Jay,WR
2016,2,17,T.Y. Hilton,Brandon,WR
2016,2,18,Amari Cooper,Trev,WR
2016,2,19,Mike Evans,Cory,WR
2016,2,20,Alshon Jeffery,Sean,WR
2016,2,21,Jamaal Charles,Fried,RB
2016,2,22,LeSean McCoy,Rob,RB
2016,2,23,Keenan Allen,Bean,WR
2016,2,24,Devonta Freeman,Chaz,RB
2016,3,25,Demaryius Thomas,Chaz,WR
2016,3,26,Mark Ingram,Bean,RB
2016,3,27,Kelvin Benjamin,Rob,WR
2016,3,28,Brandin Cooks,Fried,WR
2016,3,29,Cam Newton,Sean,QB
2016,3,30,Thomas Rawls,Cory,RB
2016,3,31,Jordan Reed,Trev,TE
2016,3,32,Aaron Rodgers,Brandon,QB
2016,3,33,Eddie Lacy,Jay,RB
2016,3,34,Sammy Watkins,Sammy,WR
2016,3,35,Golden Tate,Fred,WR
2016,3,36,Lamar Miller,KB,RB
2016,4,37,Rob Gronkowski,KB,TE
2016,4,38,Doug Martin,Fred,RB
2016,4,39,Jarvis Landry,Sammy,WR
2016,4,40,Ben Roethlisberger,Jay,QB
2016,4,41,Latavius Murray,Brandon,RB
2016,4,42,Jeremy Maclin,Trev,WR
2016,4,43,Eric Decker,Cory,WR
2016,4,44,Julian Edelman,Sean,WR
2016,4,45,Drew Brees,Fried,QB
2016,4,46,Donte Moncrief,Rob,WR
2016,4,47,Josh Gordon,Bean,WR
2016,4,48,Andrew Luck,Chaz,QB
