Team,Year,Season,Week,Opponent,Outcome,Score,Points For,Points Against,Margin of Victory,Opponent Name,Real Opponent Name
Bean,2016,6,1,avatar Yawnchy Patterson,Win,113.80 - 100.56,113.8,100.56,13.24,avatar Yawnchy Patterson,Brandon
Bean,2016,6,2,avatar Mihir The Deer,Win,113.36 - 97.56,113.36,97.56,15.8,avatar Mihir The Deer,Jay
Bean,2016,6,3,avatar Dr. Big Fried,Loss,86.06 - 90.24,86.06,90.24,-4.18,avatar Dr. Big Fried,Fried
Bean,2016,6,4,avatar Tevin's Trashwagon,Win,144.88 - 39.92,144.88,39.92,104.96,avatar Tevin's Trashwagon,Fred
Bean,2016,6,5,avatar biebzz,Win,109.70 - 37.96,109.7,37.96,71.74,avatar biebzz,Sean
Bean,2016,6,6,avatar DeezNuts4Prez,Win,107.64 - 90.52,107.64,90.52,17.12,avatar DeezNuts4Prez,Trev
Bean,2016,6,7,avatar I am The Liquor,Win,126.34 - 95.10,126.34,95.1,31.24,avatar I am The Liquor,KB
Bean,2016,6,8,avatar the green bastard,Loss,79.50 - 124.10,79.5,124.1,-44.6,avatar the green bastard,Sammy
Bean,2016,6,9,avatar The Brady Bunch,Win,110.84 - 106.88,110.84,106.88,3.96,avatar The Brady Bunch,Rob
Bean,2016,6,10,avatar A Team Has No Name,Loss,91.02 - 121.98,91.02,121.98,-30.96,avatar A Team Has No Name,Chaz
Bean,2016,6,11,avatar Joel Embiigdickholes,Loss,58.60 - 117.10,58.6,117.1,-58.5,avatar Joel Embiigdickholes,Cory
Bean,2016,6,12,avatar Yawnchy Patterson,Loss,69.94 - 88.62,69.94,88.62,-18.68,avatar Yawnchy Patterson,Brandon
Bean,2016,6,13,avatar Mihir The Deer,Win,132.14 - 87.04,132.14,87.04,45.1,avatar Mihir The Deer,Jay
Fred,2016,6,1,avatar the green bastard,Win,84.40 - 75.66,84.4,75.66,8.74,avatar the green bastard,Sammy
Fred,2016,6,2,avatar Dr. Big Fried,Loss,79.10 - 95.32,79.1,95.32,-16.22,avatar Dr. Big Fried,Fried
Fred,2016,6,3,avatar The Brady Bunch,Win,120.50 - 95.18,120.5,95.18,25.32,avatar The Brady Bunch,Rob
Fred,2016,6,4,avatar Beanbags,Loss,39.92 - 144.88,39.92,144.88,-104.96,avatar Beanbags,Bean
Fred,2016,6,5,avatar A Team Has No Name,Loss,81.30 - 143.70,81.3,143.7,-62.4,avatar A Team Has No Name,Chaz
Fred,2016,6,6,avatar biebzz,Loss,90.10 - 93.68,90.1,93.68,-3.58,avatar biebzz,Sean
Fred,2016,6,7,avatar Joel Embiigdickholes,Loss,70.28 - 107.72,70.28,107.72,-37.44,avatar Joel Embiigdickholes,Cory
Fred,2016,6,8,avatar DeezNuts4Prez,Loss,57.16 - 109.46,57.16,109.46,-52.3,avatar DeezNuts4Prez,Trev
Fred,2016,6,9,avatar Yawnchy Patterson,Loss,54.86 - 150.38,54.86,150.38,-95.52,avatar Yawnchy Patterson,Brandon
Fred,2016,6,10,avatar I am The Liquor,Loss,83.76 - 92.44,83.76,92.44,-8.68,avatar I am The Liquor,KB
Fred,2016,6,11,avatar Mihir The Deer,Loss,75.98 - 85.90,75.98,85.9,-9.92,avatar Mihir The Deer,Jay
Fred,2016,6,12,avatar the green bastard,Loss,73.18 - 97.20,73.18,97.2,-24.02,avatar the green bastard,Sammy
Fred,2016,6,13,avatar Dr. Big Fried,Loss,79.60 - 105.80,79.6,105.8,-26.2,avatar Dr. Big Fried,Fried
Jay,2016,6,1,avatar Dr. Big Fried,Win,113.00 - 109.58,113,109.58,3.42,avatar Dr. Big Fried,Fried
Jay,2016,6,2,avatar Beanbags,Loss,97.56 - 113.36,97.56,113.36,-15.8,avatar Beanbags,Bean
Jay,2016,6,3,avatar biebzz,Win,104.48 - 59.28,104.48,59.28,45.2,avatar biebzz,Sean
Jay,2016,6,4,avatar DeezNuts4Prez,Win,107.50 - 96.42,107.5,96.42,11.08,avatar DeezNuts4Prez,Trev
Jay,2016,6,5,avatar I am The Liquor,Loss,81.70 - 129.58,81.7,129.58,-47.88,avatar I am The Liquor,KB
Jay,2016,6,6,avatar the green bastard,Loss,49.36 - 129.14,49.36,129.14,-79.78,avatar the green bastard,Sammy
Jay,2016,6,7,avatar The Brady Bunch,Loss,59.60 - 96.08,59.6,96.08,-36.48,avatar The Brady Bunch,Rob
Jay,2016,6,8,avatar A Team Has No Name,Loss,62.00 - 91.90,62,91.9,-29.9,avatar A Team Has No Name,Chaz
